20230530	17:46:55	a8520867-8ebd-4c56-82cb-463e460db1a9	/404.html	GET
20230530	17:46:55	ab1fed2f-d487-4252-8b6a-708074398672	/css/style.css	GET
20230530	17:47:21	add02706-16ad-4463-aaf2-c9ee28a65e25	/new-page.html	GET
20230530	17:47:21	460dc360-c467-413d-8f11-03358ae8c103	/css/style.css	GET
20230530	17:47:21	03a767bf-b697-4ce3-8089-8e3902dd7931	/img/img1.jpg	GET
20230530	17:50:30	798c86e9-a86f-4f58-a509-59ff3d7d3912	/new-page.html	GET
20230530	17:50:30	9525a87e-11e9-4546-b222-ecc15b6471be	TypeError	fsPromises.readFil is not a function
20230602	12:30:11	f9e89eeb-9d33-43cb-b4eb-6a36c89dd681	PUT	undefined	/employees/
20230602	13:06:44	10e26781-f12e-4d19-a78c-48e41ece169e	POST	undefined	/employees/
20230602	13:07:06	d0d2b8e5-5c91-4c64-a89a-6cb352c5f642	POST	undefined	/employees/
20230602	13:07:41	ecac5e1b-625d-4a60-afa5-819730259f21	POST	undefined	/employees/
20230602	13:07:48	288901ea-0e0b-4954-b1c6-bb7d0d8cd403	POST	undefined	/employees/
20230602	13:08:36	1a2397c4-c056-4806-bb89-c9ec73c60077	POST	undefined	/employees/
20230602	13:08:41	ef9ee8c4-8c1d-46ce-a527-24dcc3ab6f29	POST	undefined	/employees/
20230602	13:08:54	76253800-4c45-45e0-a402-90f96e598bfb	GET	undefined	/employees/
20230602	13:09:10	b25bcbf0-167e-4b41-b9bd-a95279d304e0	GET	undefined	/employees/
20230603	18:07:22	e8d3934d-43be-4551-8da6-756f38426941	GET	undefined	/employees/
20230603	18:07:53	227f41c8-6851-4cba-92dc-8f4a1a1a35e9	POST	undefined	/employees/
20230603	18:08:00	abdf87b5-2fe4-4030-a3c3-1574302b7f90	POST	undefined	/employees/
20230603	18:08:25	31e7ff1c-94ee-4d9d-ab88-537ecbfa9426	PUT	undefined	/employees/
20230603	18:09:12	9cbda056-3b0b-4a62-be42-6762b6cae3dc	DELETE	undefined	/employees/
20230603	18:09:22	3585e953-0472-4118-9f47-445702bfc236	GET	undefined	/employees/3
20230604	19:46:47	dc4e68a4-07fe-4a4e-92f5-6b35762c21ec	GET	undefined	/
20230604	19:46:47	8fceeaa2-1e71-4207-9900-06964f76911c	GET	undefined	/css/style.css
20230604	19:46:47	67676253-6971-427c-a7b7-69812ef4f013	GET	undefined	/favicon.ico
20230604	19:48:27	11df3a96-8aa5-4e99-be3f-ff16a49d7a76	POST	undefined	/register
20230604	19:49:03	3af0ea7d-494c-4d56-ac3a-11586eaeea57	POST	undefined	/register
20230604	19:50:00	1256cfba-7697-4703-91ce-aab124d96d69	POST	undefined	/register
20230604	19:50:53	39dbf15a-eef9-4b58-86a6-54ed95cba49d	POST	undefined	/register
20230604	19:50:56	a6667ecf-357a-49a8-ae34-d2e2522521b6	POST	undefined	/register
20230604	19:54:23	a503838b-7a1c-4734-a952-0726c53b0886	POST	undefined	/register
20230604	20:01:42	6b39a9a9-bc99-4dfd-938f-61c747fb188f	POST	undefined	/auth
20230604	20:02:35	4115f748-6b56-41d2-8fba-bf101eaed289	POST	undefined	/auth
20230605	12:57:08	2797e323-2092-446b-aa9e-c5858b053e4e	POST	undefined	/auth
20230605	12:57:42	2ec3ce3a-e108-488d-b400-a8f6c45a9781	POST	undefined	/auth
20230605	12:58:23	8522c534-6d35-404b-99bf-55deba5c6f80	POST	undefined	/auth
20230605	12:59:15	4dd074eb-0b08-40d2-bcd1-56aad72fc4b7	POST	undefined	/register
20230605	12:59:23	add1b94c-a9bb-43dc-aeb4-afd7a9233de9	POST	undefined	/auth
20230605	12:59:46	d9d0ea09-13cf-4ec8-ba2a-2e06f41e07e0	POST	undefined	/employee
20230605	12:59:55	ccb18218-e80d-472a-8eea-04a907d3bec3	POST	undefined	/employees
20230605	13:00:04	2c9f9e84-e7b8-4479-b462-95a06d6593a5	GET	undefined	/employees
20230605	13:00:20	e2dec817-46f9-427e-8130-c4fbf359453f	GET	undefined	/employees
20230605	13:02:00	6385f751-f5d4-469d-806e-e5c2b8c29bfd	GET	undefined	/auth
20230605	13:07:40	07598033-ae36-4549-8905-0c656bd44e0e	POST	undefined	/auth
20230605	13:07:53	e7cf3dad-87e8-4d48-adb9-6483f9368fb6	POST	undefined	/register
20230605	13:08:00	ef4b4792-2f62-4e50-811d-56e3b42fc801	POST	undefined	/auth
20230605	13:08:31	3b5633ae-764b-434a-a429-a29fb8b99013	GET	undefined	/employees
20230605	13:08:39	1d5f6c8a-0474-478e-8d8c-b57ba1cba244	GET	undefined	/employees
20230605	13:09:19	3b5dd83a-ee0f-438e-b2b9-103c0bfbed7e	GET	undefined	/employees
20230605	13:10:03	4249db33-abe3-412b-b7bf-36c4459475b3	POST	undefined	/auth
20230605	13:10:28	93229641-7b14-400e-b783-289dfc7eea4d	GET	undefined	/employees
20230605	13:10:33	921f9f8e-2bf1-4768-818c-25a0cc30dc06	GET	undefined	/employees
20230605	13:10:35	39583a39-f8ec-4749-9522-3ef6bec1b048	GET	undefined	/employees
20230605	13:10:36	3f8ae61f-cbf1-4489-a225-841ffbb4843a	GET	undefined	/employees
20230605	13:10:37	70dbdc0e-30ec-4971-b94e-5a4981434c89	GET	undefined	/employees
20230605	13:10:38	13b0a46c-4f64-4311-bb7b-8e027a997ada	GET	undefined	/employees
20230605	13:10:38	99b0aba2-7e7b-4c12-a927-f0987def7003	GET	undefined	/employees
20230605	13:10:39	0f32d88a-3ab7-4a78-ae07-a757101feca2	GET	undefined	/employees
20230605	13:10:40	ac9c23d8-681b-4652-a85c-38e370e8718c	GET	undefined	/employees
20230605	13:10:41	26960831-1e91-4fe4-8d5c-3a25bfae9ad4	GET	undefined	/employees
20230605	13:10:42	021585cd-b451-4be0-9111-4075bb7c5d36	GET	undefined	/employees
20230605	13:10:43	4ba22ba6-cca0-4151-b3b1-664090b7ad86	GET	undefined	/employees
20230605	13:10:43	7a7dc642-c3e6-4c2e-a9e4-587f69d6f852	GET	undefined	/employees
20230605	13:10:44	e807b211-7b61-4a6a-8854-fdc96ee92f87	GET	undefined	/employees
20230605	13:10:45	99c470ff-2e4b-4e72-8a43-eabb9fb825d5	GET	undefined	/employees
20230605	13:10:46	eccc3ad2-fa49-41c5-b108-8c3abc266e02	GET	undefined	/employees
20230605	13:10:47	020b9af3-6bbc-49ba-9ae8-83cb168c089b	GET	undefined	/employees
20230605	13:10:47	475f4f4f-e1bb-402f-997e-bce2443c3517	GET	undefined	/employees
20230605	13:10:48	f7359f0b-ac4f-4a86-a06c-ad76ca4fc267	GET	undefined	/employees
20230605	13:10:49	87979f92-861a-496f-bcaf-10d5c6be0dc7	GET	undefined	/employees
20230605	13:10:50	a9c9c827-9951-40cc-aed5-ea954399f345	GET	undefined	/employees
20230605	13:10:50	5d3c4599-1996-4387-9498-a04e95f2e688	GET	undefined	/employees
20230605	13:10:51	54231412-f589-4c2c-b21a-02cdcd195466	GET	undefined	/employees
20230605	13:10:52	c8f4f163-acc0-4e95-bafa-d6ce7fe5cf47	GET	undefined	/employees
20230605	13:10:56	74bdec14-63cc-4c85-8339-a01d1655f4c8	GET	undefined	/employees
20230605	13:10:57	bfd3fbd4-9d19-4b99-9bf6-267f9cbb8e1b	GET	undefined	/employees
20230605	13:11:02	aa6b52af-f4cb-4758-b2f8-7a2c80d3e39b	GET	undefined	/employees
20230605	13:11:04	7fcd63c1-3d2c-4487-aa41-7540792d584c	GET	undefined	/employees
20230605	13:14:07	cb53634e-18c7-4746-9a03-f9c17c10325f	POST	undefined	/auth
20230605	13:14:15	61cff9cd-9b44-4cca-bc9a-7b0091c74a9f	GET	undefined	/auth
20230605	13:14:26	3b618397-694f-4d4b-85f7-03bb0f30a93a	GET	undefined	/employees
20230605	13:14:33	d378c3a4-1bb9-40c5-87cd-91678e6b9582	GET	undefined	/employees/2
20230605	13:31:20	8e521b3a-73ce-4252-9f74-ad43d0e73c71	POST	undefined	/auth
20230605	13:31:37	06c88891-0cb8-4975-8f04-3008610c8a90	GET	undefined	/employees/2
20230605	13:32:46	6756a4d8-9ee8-448a-9e0a-aed5d82de763	GET	undefined	/refresh
20230605	13:33:01	68952aa2-cb20-4659-8bb3-d434f8bb0489	GET	undefined	/employees/2
20230605	13:33:18	80e03677-5c7b-46ee-af5c-e7e73ddc98fc	GET	undefined	/employees/2
20230605	13:52:21	28049fbe-d86c-4434-ba91-52a987f229cb	POST	undefined	/auth
20230605	13:52:35	3a4702f0-6e86-4c2b-86b5-166d7ffdfac2	GET	undefined	/employees/2
20230605	13:52:43	3ab9aa7a-7b95-42b6-8869-67e8cd0d741b	GET	undefined	/logout
20230605	13:53:01	b23aa672-1461-4b3f-9de8-1e19249c370f	GET	undefined	/refresh
20230605	13:53:45	109b5ca2-8d9a-43d9-a0f1-dd542d8dccfa	GET	undefined	/refresh
20230605	13:54:47	ed9fe599-6512-4774-8f75-500041059552	POST	undefined	/auth
20230605	13:54:54	a16f3b7f-6882-4be5-90f9-9a798131e715	GET	undefined	/refresh
20230605	13:55:00	6f03472e-1e17-4fa9-bdfb-9993b26119c9	POST	undefined	/auth
20230605	13:56:38	bd961f06-b3d6-41b0-9fac-8b3c2add6714	POST	undefined	/register
20230605	13:56:45	ef5e0f6b-25aa-419c-98be-dcb64e99f6b5	POST	undefined	/auth
20230605	13:56:48	9ea50a38-024e-4a1e-be71-4a4d4eaba415	GET	undefined	/refresh
20230605	13:56:58	8014d53f-bf8a-4f1c-8e17-a1fc212ff9e0	GET	undefined	/logout
20230605	13:57:04	5d84caec-1057-44b9-b98d-14f16eaf2500	GET	undefined	/refresh
20230605	19:14:55	fdba19a8-3687-42b7-ac7f-7b38cbb9e5b2	POST	undefined	/register
20230605	19:16:36	db7f3821-b31d-4d1e-a96f-e4e851a9c696	POST	undefined	/auth
20230605	19:16:52	1327447d-b457-49fb-b0bc-dc2293c20926	GET	undefined	/employees/2
20230605	19:18:35	756a4210-e6d3-4f5a-9970-788c590650f7	GET	undefined	/employees
20230605	19:19:21	65095171-ca1a-4d97-add4-a0567579a70e	POST	undefined	/employees
20230605	19:19:39	28e3d39d-b09d-4043-8770-5e046dfafea4	PUT	undefined	/employees
20230605	19:20:02	f234b2f6-8f09-4261-ac1e-95fcdccddf55	GET	undefined	/refresh
20230605	19:21:11	2ab18ce3-d8e7-40bb-b959-29a1b7053fa0	GET	undefined	/refresh
20230605	19:21:12	be5e2e93-4b80-4a61-98fc-09cc07ba033a	GET	undefined	/refresh
20230605	19:21:26	99e3aae1-8279-458a-b298-acfff4a84333	GET	undefined	/refresh
20230605	19:21:33	25a0c847-acd4-4fea-976e-f31ef6af90e4	POST	undefined	/auth
20230605	19:21:40	bd942c5d-fe48-4c0b-8d9e-ef55ecca1df8	GET	undefined	/refresh
20230605	19:21:56	6f707dec-0d02-4fb4-81de-d18c48e16246	POST	undefined	/auth
20230605	19:22:10	1ac850ca-ac48-41b8-89eb-78d24b338340	POST	undefined	/auth
20230605	19:22:16	dfda5b8a-e7a5-4011-b050-665a136d7165	GET	undefined	/refresh
20230605	19:22:24	67cc2b11-9f12-4415-8820-8a4b36f84a66	POST	undefined	/auth
20230605	19:22:28	2ae5e334-8f5b-47ea-8dde-95dd68bbda41	GET	undefined	/refresh
20230605	19:22:44	47b1c1fb-b926-49e6-9a16-23a9f2ce8ce2	PUT	undefined	/employees
20230605	19:22:50	30b759d5-73c2-4931-9679-13148270dd22	GET	undefined	/employees
20230605	19:23:03	a433240f-8622-443a-b15c-bcf49a6bbda8	POST	undefined	/employees
20230605	19:23:10	80bfdd38-4540-4f6c-9cb1-a58926b300de	PUT	undefined	/employees
20230605	19:24:09	257bee17-9992-492b-91b2-1f0813896dd2	DELETE	undefined	/employees
20230605	19:24:16	8504d4b9-109b-477e-8671-5484f481abf2	PUT	undefined	/employees
20230605	19:24:21	641e0789-074a-4d19-8bcf-861a571da432	DELETE	undefined	/employees
20230605	19:25:52	6d416b40-ccbd-4464-a565-df1ff4e86a80	GET	undefined	/logout
20230606	17:02:52	f93096cb-11e2-42d7-a4dd-ebfb016da83b	POST	undefined	/register
20230606	17:03:56	77a8ba71-ef05-4d74-863e-d811acbc194c	POST	undefined	/register
20230606	17:29:23	d3d52b40-e653-4de3-b18a-7311d10a2d4d	POST	undefined	/auth
20230606	17:29:34	358b2442-db3a-4331-b45b-eb69d89e4d70	GET	undefined	/refresh
20230606	17:29:38	6c57361a-89bb-47ac-a431-8088c762c952	GET	undefined	/logout
20230606	17:54:52	10033bae-f704-4d90-9369-7cbc76ee78e4	POST	undefined	/auth
20230606	17:55:20	7e701291-3422-48fa-8f2e-4e610749115b	GET	undefined	/employees
20230606	17:55:28	7fece861-1749-48cc-be2d-b97d5cff4c8f	POST	undefined	/employees
20230606	17:56:08	3f2845b7-7eac-4cb0-b85f-5998fdd19863	POST	undefined	/employees
20230606	17:56:16	2a4af83c-a08c-47cd-b000-922128b344e6	POST	undefined	/employees
20230606	17:56:21	9c0b9d09-7fca-4c7c-b994-59f3012957d1	GET	undefined	/employees
20230606	17:56:50	9dfef909-bd4c-430e-a61e-846978880e8a	PUT	undefined	/employees
20230606	17:56:57	87d7f687-2414-48f7-b741-ae367bfb7627	PUT	undefined	/employees
20230606	17:57:03	5b64ec82-5d18-41d1-a4a4-10de94e8eade	GET	undefined	/employees
20230606	17:57:20	55fe5df7-ff22-4714-b21f-55cd2cc36940	DELETE	undefined	/employees
20230606	17:57:34	9cc8d42a-0329-4c05-ad23-33db55a28314	GET	undefined	/employees/647f25e0aa5c76ab9f79961f
20230606	17:58:16	5e792345-0612-4250-9fe5-9bdcfb55881c	GET	undefined	/employees/647f25e0aa5c76ab9f79961f
20230606	17:58:21	ea417475-71c5-4f5b-a111-1ca8318a67cb	POST	undefined	/auth
20230606	17:58:37	5074fce0-4a5b-4833-9e53-00a0a704ad0b	GET	undefined	/employees/647f25e0aa5c76ab9f79961f
20230606	17:58:44	18f628e2-9d53-4c94-9dcc-45fc48c45763	GET	undefined	/employees/
